horizon_j,C_central,C_up,C_down,D_L
1,0.01341281964458116,0.014390239477713476,0.012633472145904052,3.2744183891997025
2,0.010030643809671915,0.010721906182042436,0.00947946149703646,3.0966224815199928
3,0.008532055125857536,0.009096533587322311,0.008081963152722372,2.9728196185850555
5,0.0070288691706327155,0.007466181941434353,0.006680172199517948,2.795647930112387
8,0.005946839752030428,0.0062926217213023,0.005671124677664584,2.6127198207481483
10,0.005515572642269002,0.005824874857382576,0.005268944692168136,2.5198207025415074
15,0.004845015987857922,0.005097600356580376,0.004643612098897619,2.3425529390434177
20,0.004445227116455517,0.0046639980454031196,0.004270784495587195,2.2114367810382007
30,0.003970931588868549,0.004149589930597194,0.0038284729721449655,2.021672693584012
45,0.003583596122790395,0.003729498937437939,0.00346725540708027,1.829471858518692
60,0.00335265683526641,0.003479031401991677,0.0032518871864967353,1.6937627876615966
90,0.0030786683432030967,0.003181876210393271,0.002996370984836837,1.5063755240636882
120,0.0029153050697618282,0.0030047011558987594,0.002844020768428628,1.3779037152641667
