horizon_j,C_central,C_up,C_down,D_L
1,0.01341281964458116,0.03585978588044277,0.0018760128680443992,63.34196297444433
2,0.010030643809671915,0.02590316803241157,0.001872443247630668,59.893276146466285
3,0.008532055125857536,0.021491981982317235,0.0018706744937678702,57.492911142487706
5,0.0070288691706327155,0.01706765498195211,0.0018687315834108214,54.05892124882562
8,0.005946839752030428,0.013883252646486864,0.0018671887437083457,50.51449342768938
10,0.005515572642269002,0.012614141553712502,0.0018665290067384928,48.714853579340435
15,0.004845015987857922,0.010641013401140239,0.0018654376257103296,45.28145932553344
20,0.004445227116455517,0.009464734565661999,0.0018647399585582354,42.742442669407176
30,0.003970931588868549,0.008069374885323437,0.0018638534817027722,39.06842301826727
45,0.003583596122790395,0.0069299899509438585,0.0018630685352637006,35.34802222449359
60,0.00335265683526641,0.006250737924271608,0.0018625667569364603,32.721595013663645
90,0.0030786683432030967,0.005444965109169913,0.0018619291823103131,29.095663509598367
120,0.0029153050697618282,0.004964593633261882,0.0018615216116615726,26.610182702541497
