horizon_j,C_central,C_up,C_down,D_L
1,0.01341281964458116,0.033206763398368706,0.0018768269990676646,58.39550748741797
2,0.010030643809671915,0.02402707566440019,0.0018731045275052634,55.21572582293585
3,0.008532055125857536,0.019960093880431084,0.001871260035600795,53.00256965642912
5,0.0070288691706327155,0.015880989925887976,0.001869233929820867,49.83645183854594
8,0.005946839752030428,0.012945055679394564,0.0018676250257212274,46.5685604269527
10,0.005515572642269002,0.011774967256192178,0.0018669370388138533,44.909345139647854
15,0.004845015987857922,0.009955790288803619,0.0018657989248492832,41.74388373654822
20,0.004445227116455517,0.008871287494083146,0.0018650713835892372,39.40302670114437
30,0.003970931588868549,0.007584794754181189,0.0018641469477941887,36.01577915887115
45,0.003583596122790395,0.006534303041208815,0.0018633283899480346,32.585805509408864
60,0.00335265683526641,0.005908043985739258,0.0018628051254724626,30.164426744449013
90,0.0030786683432030967,0.005165133214510823,0.0018621402499003677,26.82160431394477
120,0.0029153050697618282,0.0047222366524181485,0.0018617152270761564,24.53020658980029
