scenario,horizon_j,cout_portefeuille,besoin_non_couvert
Central,1,0.01341281964458116,0.0
Central,2,0.010030643809671915,0.0
Central,3,0.008532055125857536,0.0
Central,5,0.0070288691706327155,0.0
Central,8,0.005946839752030428,0.0
Central,10,0.005515572642269002,0.0
Central,15,0.004845015987857922,0.0
Central,20,0.004445227116455517,0.0
Central,30,0.003970931588868549,0.0
Central,45,0.003583596122790395,0.0
Central,60,0.00335265683526641,0.0
Central,90,0.0030786683432030967,0.0
Central,120,0.0029153050697618282,0.0
Choc de taux,1,0.03585978588044277,0.0
Choc de taux,2,0.02590316803241157,0.0
Choc de taux,3,0.021491981982317235,0.0
Choc de taux,5,0.01706765498195211,0.0
Choc de taux,8,0.013883252646486864,0.0
Choc de taux,10,0.012614141553712502,0.0
Choc de taux,15,0.010641013401140239,0.0
Choc de taux,20,0.009464734565661999,0.0
Choc de taux,30,0.008069374885323437,0.0
Choc de taux,45,0.0069299899509438585,0.0
Choc de taux,60,0.006250737924271608,0.0
Choc de taux,90,0.005444965109169913,0.0
Choc de taux,120,0.004964593633261882,0.0
Crise de spread,1,0.038706127553908246,0.0
Crise de spread,2,0.029893018751553403,0.0
Crise de spread,3,0.025988411579560895,0.0
Crise de spread,5,0.022072134620060167,0.0
Crise de spread,8,0.0192533680496344,0.0
Crise de spread,10,0.018129967288181566,0.0
Crise de spread,15,0.016383364959406836,0.0
Crise de spread,20,0.015342118752800001,0.0
Crise de spread,30,0.01410692817902543,0.0
Crise de spread,45,0.013098316062792322,0.0
Crise de spread,60,0.01249701753626484,0.0
Crise de spread,90,0.011783708710055778,0.0
Crise de spread,120,0.011358454618602179,0.0
Choc combine,1,0.07039094426001469,0.0
Choc combine,2,0.052297771703162535,0.0
Choc combine,3,0.04428192455820929,0.0
Choc combine,5,0.036242345221447946,0.0
Choc combine,8,0.030455996526914986,0.0
Choc combine,10,0.028149945292387322,0.0
Choc combine,15,0.024564709872324723,0.0
Choc combine,20,0.022427415488378986,0.0
Choc combine,30,0.019892103266216248,0.0
Choc combine,45,0.017821940024086224,0.0
Choc combine,60,0.01658782767711401,0.0
Choc combine,90,0.015123880420887815,0.0
Choc combine,120,0.014251153996673491,0.0
